date,close,sign,change,diff,volume,krx_0008,krx_0018,krx_0009,pgmvol,fsc_listing,fsc_sjrate,fsc_0009,gm_volume,gm_value
20230726,70000,3,0,0.00,0,0,0,0,0,3165243552,53.02,0,0,0
20230725,70000,5,-400,-0.57,13500986,49193,-23280,1844693,-940037,3165243552,53.02,1895393,249469,17471
20230724,70400,2,100,0.14,13360061,-2249447,-2985631,576591,2421837,3164288196,53.01,582022,187872,13236
20230721,70300,5,-700,-0.99,16528926,3655097,1135251,-3232093,-823435,3161284337,52.95,-2740185,690377,48199
20230720,71000,5,-700,-0.98,9732730,980710,-1071133,-296382,190441,3164847957,53.01,1200568,212026,15104
20230719,71700,5,-300,-0.42,10851948,712280,-2301235,-628532,1100516,3163456948,52.99,-1023832,325361,23349
20230718,72000,5,-1300,-1.77,11282654,1358010,-16451,-155168,-635879,3163380264,52.99,-869168,373461,27196
20230717,73300,5,-100,-0.14,10060049,-1618109,-1257478,188622,1354053,3164885311,53.02,21306,414610,30352
20230714,73400,2,1500,2.09,15772356,-8507528,1621132,2608029,2216043,3163509952,52.99,2888506,485507,35416
20230713,71900,3,0,0.00,14417279,-2815287,3765361,1865317,-1428396,3158405403,52.91,1987676,394730,28531
20230712,71900,2,400,0.56,10226140,-1078396,-1246733,1119931,598028,3157846123,52.90,1320245,444893,31804
20230711,71500,2,2000,2.88,12152893,-1601604,599025,712076,164904,3155927850,52.87,2080984,550026,38981
20230710,69500,5,-400,-0.57,11565490,703577,-739584,56860,-28388,3153681962,52.83,-102663,497591,34650
20230707,69900,5,-1700,-2.37,17280440,4293318,-1202314,744720,-1966344,3153813013,52.83,977674,774340,54331
20230706,71600,5,-400,-0.56,14588829,361117,-1503489,979189,78089,3154801683,52.85,1133789,376119,26900
20230705,72000,5,-1000,-1.37,11662458,1713116,-3797777,-87815,1064480,3153589805,52.83,39823,404795,29291
20230704,73000,3,0,0.00,10212350,-957683,-2622254,848988,1406500,3152485502,52.81,554988,255995,18755
20230703,73000,2,800,1.11,10722181,-2543961,3156591,597146,-586229,3150524014,52.77,-126759,252077,18387
20230630,72200,5,-200,-0.28,11334353,-333569,-794183,34110,539888,3151237002,52.79,-610582,517132,37335
20230629,72400,5,-300,-0.41,12216370,-1227586,-1459066,1516894,639740,3151307696,52.79,1539110,349834,25506
20230628,72700,2,100,0.14,8716664,-954312,-674839,110911,735090,3149128846,52.75,-2000207,319351,23151
20230627,72600,2,200,0.28,9222104,-1909424,-1340765,1348576,922937,3150393963,52.77,1546540,618828,44794
20230626,72400,2,800,1.12,10410317,-4209813,-1163344,1381658,2062411,3147924486,52.73,1527658,555006,39870
20230623,71600,2,300,0.42,12252821,-2763938,-2831763,3121170,1258776,3144334417,52.67,3537419,305497,21953
20230622,71300,2,800,1.13,11316385,-2287045,-945998,734652,1269037,3139538222,52.59,-252271,343819,24434
20230621,70500,5,-900,-1.26,10528867,918236,-341252,-501231,-29029,3138521456,52.57,-723455,182611,12910
20230620,71400,2,200,0.28,11535955,-536281,-1828628,-460778,1402841,3139273940,52.59,-243533,113013,8001
20230619,71200,5,-600,-0.84,11009959,176547,-178822,757254,-374352,3138114632,52.57,582822,187337,13326
20230616,71800,2,300,0.42,14302425,149518,-2312953,861961,649367,3137906162,52.56,1123360,884971,63277
20230615,71500,5,-400,-0.56,13157666,-357938,23646,1057766,-364620,3136133435,52.53,-461302,145223,10438
20230614,71900,5,-100,-0.14,12501046,-253641,-120133,1040714,-327056,3136959357,52.55,640366,150790,10802
20230613,72000,2,1000,1.41,12917385,-2747700,-340320,529723,1315053,3136646047,52.54,-74522,70546,5071
20230612,71000,5,-1000,-1.39,12042817,1277277,727531,-1506855,-246111,3135405516,52.52,-2559855,1968640,140613
20230609,72000,2,1100,1.55,14992310,-3790321,518052,1563575,908848,3138211482,52.57,1906175,514207,36672
20230608,70900,5,-100,-0.14,19165568,-595936,446225,215173,13160,3135396459,52.52,-164927,373335,26420
20230607,71000,5,-700,-0.98,14755937,-251427,1503441,-1304639,41333,3135548226,52.52,-938439,93634,6664
20230605,71700,5,-500,-0.69,12651559,408758,3173331,760518,-2185573,3136445332,52.54,1900882,488382,35185
20230602,72200,2,1300,1.83,11769798,-2509710,-1849043,567512,1880633,3136730023,52.54,1041140,616164,44309
20230601,70900,5,-500,-0.70,14566407,250913,-2828845,-108643,1354121,3133808250,52.49,-253543,315193,22428
20230531,71400,5,-900,-1.24,24153085,-1146615,-52979,2653948,-659059,3132707672,52.48,2497442,856055,61605
20230530,72300,2,2000,2.84,25371700,-4975542,-2121337,4993132,1225385,3130869289,52.45,5127209,1085104,77841
20230526,70300,2,1500,2.18,19522023,-6461813,-4713724,4107732,3585108,3124516695,52.34,4389298,1258609,88106
20230525,68800,2,300,0.44,14231160,-332296,-1137419,702818,412407,3116542289,52.21,-19083,939761,65083
20230524,68500,2,100,0.15,8081634,-765304,-1979159,20431,1358324,3116148965,52.20,-94969,378725,25912
20230523,68400,5,-100,-0.15,8528989,-486550,1964701,343197,-881811,3114885610,52.18,120481,570185,39026
20230522,68500,2,100,0.15,14425375,-2420026,3581077,1219659,-1152218,3115646940,52.19,902541,634342,43432
20230519,68400,2,2200,3.32,20334873,-10239808,-1733617,3205051,4576812,3115896617,52.19,2159805,587998,39923
20230518,66200,2,1200,1.85,14411704,-4323545,-3946260,2525321,2972704,3109160000,52.08,2583479,619571,40862
20230517,65000,5,-400,-0.61,10217085,483105,854441,412828,-888135,3103603817,51.99,886136,1574843,102893
20230516,65400,2,900,1.40,12200178,-2271295,-2784163,390312,2840260,3103605816,51.99,-140668,698846,45857
20230515,64500,2,400,0.62,8157143,-468764,216576,312857,-25107,3100906224,51.94,312857,571254,36647
20230512,64100,5,-100,-0.16,7546680,94356,-976528,-432258,678387,3100618474,51.94,-296258,367946,23625
20230511,64200,5,-400,-0.62,11648905,598081,2007944,1029873,-1809284,3100236345,51.93,1112689,570495,36909
20230510,64600,5,-700,-1.07,13042129,1395137,1688338,1889080,-2545988,3100932940,51.94,1719080,352889,22815
20230509,65300,5,-600,-0.91,9293835,210673,876813,218782,-667320,3101759848,51.96,170977,1035205,67690
20230508,65900,2,800,1.23,9268657,-2659491,1318448,899191,240970,3102256191,51.97,643928,432365,28539
20230504,65100,5,-300,-0.46,9776982,120711,-1866656,949209,389009,3101371293,51.95,620504,474208,30897
20230503,65400,5,-300,-0.46,8795072,33808,-2180954,-70198,1125857,3100361780,51.93,1381263,795716,51955
20230502,65700,2,200,0.31,14099788,-1617595,1421412,2078803,-896020,3097854660,51.89,2001573,1135370,74758
20230428,65500,2,900,1.39,18158364,-2655168,-3592106,1561107,2384557,3096749107,51.87,1718735,804994,52655
20230427,64600,2,500,0.78,14727926,-1395720,-3847659,2518079,1385784,3092645815,51.80,3054079,222799,14262
20230426,64100,2,500,0.79,12583068,-344893,-2269389,156478,1292990,3088205952,51.73,1524448,416338,26568
20230425,63600,5,-1600,-2.45,16088779,1262402,-314877,-486358,-227909,3085388514,51.68,-500760,345865,22286
20230424,65200,5,-500,-0.76,12916594,-1630852,-22480,994458,363743,3086117183,51.70,2400281,666675,43465
20230421,65700,2,400,0.61,10302056,-2003922,734601,4089684,-1404487,3083353159,51.65,4044073,689493,45262
