"","symbol","date","open","high","low","close","volume","adjusted"
"1","122630.KS",2022-01-04,24030,24120,23700,23945,14785180,23945
"2","122630.KS",2022-01-05,23820,23885,23005,23265,18355770,23265
"3","122630.KS",2022-01-06,22920,23370,22800,22850,21266580,22850
"4","122630.KS",2022-01-07,23120,23475,23035,23380,14437010,23380
"5","122630.KS",2022-01-10,23295,23335,22670,22985,16135230,22985
"6","122630.KS",2022-01-11,23090,23345,22885,23135,15460780,23135
"7","122630.KS",2022-01-12,23465,23930,23465,23910,15721320,23910
"8","122630.KS",2022-01-13,23985,24040,23620,23655,9852017,23655
"9","122630.KS",2022-01-14,23385,23385,22845,22930,19928090,22930
"10","122630.KS",2022-01-17,22930,22975,22335,22620,20576700,22620
"11","122630.KS",2022-01-18,22740,22810,22115,22265,17672510,22265
"12","122630.KS",2022-01-19,21920,22360,21770,21925,17884980,21925
"13","122630.KS",2022-01-20,21935,22185,21745,22175,16587450,22175
"14","122630.KS",2022-01-21,21730,21840,21400,21675,25150880,21675
"15","122630.KS",2022-01-24,21580,21685,21000,21170,23687140,21170
"16","122630.KS",2022-01-25,21105,21105,19940,20155,45862740,20155
"17","122630.KS",2022-01-26,20340,20485,19955,20005,26430670,20005
"18","122630.KS",2022-01-27,20100,20175,18690,18715,42182960,18715
"19","122630.KS",2022-01-28,18900,19755,18555,19700,37275430,19700
"20","122630.KS",2022-02-03,20340,20555,20050,20050,25380390,20050
"21","122630.KS",2022-02-04,20195,20585,20050,20530,24106130,20530
"22","122630.KS",2022-02-07,20310,20365,19760,20125,24357070,20125
"23","122630.KS",2022-02-08,20465,20635,19935,20215,19572800,20215
"24","122630.KS",2022-02-09,20585,20790,20470,20780,18359210,20780
"25","122630.KS",2022-02-10,21070,21215,20840,21110,19862510,21110
"26","122630.KS",2022-02-11,20700,21040,20545,20740,15228980,20740
"27","122630.KS",2022-02-14,NA,NA,NA,NA,NA,NA
"28","122630.KS",2022-02-15,20280,20335,19715,19920,16894270,19920
"29","122630.KS",2022-02-16,20365,20660,20325,20640,13988490,20640
"30","122630.KS",2022-02-17,20700,21275,20450,20905,32906360,20905
"31","122630.KS",2022-02-18,20450,20870,20335,20750,19937570,20750
"32","122630.KS",2022-02-21,20080,20770,19915,20770,19271860,20770
"33","122630.KS",2022-02-22,20055,20345,19890,20170,28977060,20170
"34","122630.KS",2022-02-23,20470,20540,20095,20320,18999800,20320
"35","122630.KS",2022-02-24,19775,19885,19125,19225,38103280,19225
"36","122630.KS",2022-02-25,19600,19880,19460,19655,25931480,19655
"37","122630.KS",2022-02-28,19445,19935,19315,19935,19748800,19935
"38","122630.KS",2022-03-02,19990,20090,19755,19830,15887420,19830
"39","122630.KS",2022-03-03,20150,20585,20105,20530,17166380,20530
"40","122630.KS",2022-03-04,20390,20390,19770,19925,24287370,19925
"41","122630.KS",2022-03-07,19200,19255,18820,18990,24974730,18990
"42","122630.KS",2022-03-08,18450,18960,18360,18525,20678390,18525
"43","122630.KS",2022-03-10,19280,19485,19230,19325,17339230,19325
