,date,close,sign,change,diff,volume,krx_0008,krx_0018,krx_0009,pgmvol,fsc_listing,fsc_sjrate,fsc_0009,gm_volume,gm_value
0,20230721,70300,5,-700,-0.99,16528926,-135656797,-47587921,187226850,66422136,3161057429,52.95,189453121,111023539,6948297
1,20230720,71000,5,-700,-0.98,9732730,-139311894,-47899737,191282378,67245571,3164847957,53.01,193243649,110811513,6933193
2,20230719,71700,5,-300,-0.42,10851948,-140292604,-47019045,191388319,67055130,3163456948,52.99,191852640,110486152,6909844
3,20230718,72000,5,-1300,-1.77,11282654,-141004884,-45818326,190916335,65954614,3163380264,52.99,191775956,110112691,6882647
4,20230717,73300,5,-100,-0.14,10060049,-142362894,-45165996,191707382,66590493,3164885311,53.02,193281003,109698081,6852294
5,20230714,73400,2,1500,2.09,15772356,-140744785,-45262571,190164707,65236440,3163509952,52.99,191905644,109212574,6816878
6,20230713,71900,3,0,0.00,14417279,-132237257,-49099746,185340635,63020397,3158405403,52.91,186801095,108817844,6788346
7,20230712,71900,2,400,0.56,10226140,-129421970,-51436711,184903714,64448793,3157846123,52.90,186241815,108372951,6756542
8,20230711,71500,2,2000,2.88,12152893,-128343574,-50788006,183185755,63850765,3155927850,52.87,184323542,107822925,6717561
9,20230710,69500,5,-400,-0.57,11565490,-126741970,-51551935,182308775,63685861,3153681962,52.83,182077654,107325334,6682910
10,20230707,69900,5,-1700,-2.37,17280440,-127445547,-50783963,182280303,63714249,3153813013,52.83,182208705,106550994,6628578
11,20230706,71600,5,-400,-0.56,14588829,-131738865,-47615305,183501927,65680593,3154801683,52.85,183197375,106174875,6601678
12,20230705,72000,5,-1000,-1.37,11662458,-132099982,-46189905,182444649,65602504,3153589805,52.83,181985497,105770080,6572387
13,20230704,73000,3,0,0.00,10212350,-133813098,-43456608,181467984,64538024,3152485502,52.81,180881194,105514085,6553632
14,20230703,73000,2,800,1.11,10722181,-132855415,-42240854,179212496,63131524,3150524014,52.77,178919706,105262008,6535244
15,20230630,72200,5,-200,-0.28,11334353,-130311454,-44811216,179201579,63717753,3151237002,52.79,179632694,104744876,6497908
16,20230629,72400,5,-300,-0.41,12216370,-129977885,-44556921,178627581,63177865,3151307696,52.79,179703388,104395042,6472402
17,20230628,72700,2,100,0.14,8716664,-128750299,-43737595,176470947,62538125,3149128846,52.75,177524538,104075691,6449251
18,20230627,72600,2,200,0.28,9222104,-127795987,-43797846,175624946,61803035,3150393963,52.77,178789655,103456863,6404457
