date,close,sign,change,diff,volume,krx_0008,krx_0018,krx_0009,pgmvol,fsc_listing,fsc_sjrate,fsc_0009,gm_volume,gm_value,shcode
20221229,12805,5,-480,-3.61,18306241,3703971,-3248809,-571027,0,56568,0.04,-171027,0,0,122630
20221228,13285,5,-275,-2.03,16378432,2235121,-1599598,-688470,0,227595,0.16,-1088470,0,0,122630
20221227,13560,2,185,1.38,17776955,-772417,805734,155566,0,1316065,0.91,155566,0,0,122630
20221226,13375,3,0,0.00,10881566,-288532,-14282,294974,0,1160499,0.85,294974,0,0,122630
20221223,13375,5,-470,-3.39,21293163,2387792,-2166907,-326450,0,865525,0.60,-726450,0,0,122630
20221222,13845,2,345,2.56,17465021,-2928219,2979921,47130,0,1591975,1.12,47130,0,0,122630
20221221,13500,5,-70,-0.52,17982317,2117713,-2336524,152420,0,1544845,1.13,152420,0,0,122630
20221220,13570,5,-235,-1.70,23602372,1102691,-1392705,249701,0,1392425,0.97,249701,0,0,122630
20221219,13805,5,-15,-0.11,12007205,465622,-281802,-237178,0,1142724,0.82,-337178,0,0,122630
20221216,13820,5,-145,-1.04,19526268,-1197421,1117897,54777,0,1479902,1.04,54777,0,0,122630
20221215,13965,5,-470,-3.26,21988612,3180662,-3239327,-37478,0,1425125,1.03,-37478,0,0,122630
20221214,14435,2,300,2.12,20171316,-2334544,2563276,-114993,0,1462603,1.11,-514993,0,0,122630
20221213,14135,5,-20,-0.14,22732643,2357808,-2626383,261279,0,1977596,1.42,661279,0,0,122630
20221212,14155,5,-195,-1.36,16904082,-916145,394948,539438,0,1316317,0.97,539438,0,0,122630
20221209,14350,2,335,2.39,33161779,-1319808,2149310,-849257,0,776879,0.59,-449257,0,0,122630
20221208,14015,5,-20,-0.14,21144388,912123,-1230670,313674,0,1226136,0.93,863674,0,0,122630
20221207,14035,5,-150,-1.06,23524093,477883,-579513,-21709,0,362462,0.28,362462,0,0,122630
20221206,14185,5,-365,-2.51,22234025,1802838,-1263461,-588186,0,0,0.00,-72357,0,0,122630
20221205,14550,5,-105,-0.72,29973001,1134123,-178888,-929058,0,72357,0.06,-529058,0,0,122630
20221202,14655,5,-685,-4.47,26565889,4180201,-3432346,-812175,0,601415,0.48,-812175,0,0,122630
20221201,15340,2,190,1.25,28020474,371849,-292434,-83317,0,1413590,1.10,-83317,0,0,122630
20221130,15150,2,435,2.96,20985242,-2192829,1681288,526813,0,1496907,1.13,526813,0,0,122630
20221129,14715,2,320,2.22,15771101,-1018380,2036293,-1019577,0,970094,0.77,-1019577,0,0,122630
20221128,14395,5,-365,-2.47,20335730,284296,318058,-608965,0,1989671,1.53,-608965,0,0,122630
20221125,14760,5,-135,-0.91,15578566,199214,-1205077,1005777,0,2598636,1.91,805777,0,0,122630
