date,close,sign,change,diff,volume,krx_0008,krx_0018,krx_0009,pgmvol,fsc_listing,fsc_sjrate,fsc_0009,gm_volume,gm_value
20221229,5565,2,100,1.83,27732795,-2226259,2525531,-327875,0,3049301,4.78,-327875,0,0
20221228,5465,2,150,2.82,22993212,-4653633,3899353,808895,0,3377176,5.49,808895,0,0
20221227,5315,5,-80,-1.48,21768036,2048823,-2634604,523420,0,2568281,4.31,523420,0,0
20221226,5395,5,-90,-1.64,20169260,3443671,-2617205,-813696,0,2044861,3.14,-813696,0,0
20221223,5485,2,205,3.88,27233405,-5944233,7662545,-1574794,0,2858557,4.66,-1574794,0,0
20221222,5280,5,-130,-2.40,21098216,3779851,-4016818,85985,0,4433351,7.57,85985,0,0
20221221,5410,5,-45,-0.82,21293181,110910,3788,-130351,0,4347366,7.00,-130351,0,0
20221220,5455,2,120,2.25,32572778,-3086998,3332726,-239666,0,4477717,6.88,-239666,0,0
20221219,5335,5,-10,-0.19,21101990,-697064,897096,-162973,0,4717383,7.67,-162973,0,0
20221216,5345,2,65,1.23,30783234,1798119,-1558973,-279262,0,4880356,8.16,-279262,0,0
20221215,5280,2,100,1.93,24946250,-4389624,4067975,563331,0,5159618,8.11,563331,0,0
20221214,5180,5,-120,-2.26,23160032,4019965,-4336262,122296,0,4596287,7.52,122296,0,0
20221213,5300,5,-25,-0.47,18426195,448719,-67241,-348033,0,4473991,6.96,-348033,0,0
20221212,5325,2,85,1.62,19508960,-1203931,707816,494957,0,4822024,7.62,494957,0,0
20221209,5240,5,-50,-0.95,23105757,-1782448,1474734,294087,0,4327067,7.00,294087,0,0
20221208,5290,3,0,0.00,18804833,-680297,57684,605141,0,4032980,6.25,605141,0,0
20221207,5290,2,5,0.09,31634215,1912832,-1146078,-786858,0,3427839,5.49,-786858,0,0
20221206,5285,2,105,2.03,25778790,-1546829,1255077,272657,0,4214697,6.32,272657,0,0
20221205,5180,5,-30,-0.58,26661858,1399395,-639271,-747587,0,3942040,6.19,-747587,0,0
20221202,5210,2,115,2.26,23569733,-2774999,2567415,149164,0,4689627,6.93,149164,0,0
20221201,5095,5,-105,-2.02,29782728,1476504,-859209,-592789,0,4540463,6.96,-592789,0,0
20221130,5200,2,5,0.10,30212883,-1813141,2267353,-359365,0,5133252,8.08,-359365,0,0
20221129,5195,5,-105,-1.98,35022053,3929598,-4466518,478614,0,5492617,8.08,478614,0,0
20221128,5300,2,115,2.22,28614324,-1334852,1472985,-114435,0,5014003,7.76,-114435,0,0
20221125,5185,2,75,1.47,24634618,-3847338,4011255,-125883,0,5128438,8.49,-125883,0,0
20221124,5110,5,-95,-1.83,24699942,2716566,-2643456,-38488,0,5254321,8.18,-38488,0,0
20221123,5205,5,-125,-2.35,24602742,4011740,-5132164,1334091,0,5292809,8.61,1334091,0,0
20221122,5330,2,65,1.23,27023709,-1270367,1948393,-690681,0,3958718,6.13,-690681,0,0
20221121,5265,2,115,2.23,30099778,-1324101,-359966,1444794,0,4649399,6.63,1444794,0,0
20221118,5150,2,65,1.28,25511721,-625158,3297273,-2379587,0,3204605,4.74,-2379587,0,0
20221117,5085,2,50,0.99,35222041,-1715670,1562061,146250,0,5584192,9.25,146250,0,0
20221116,5035,2,30,0.60,40961834,-4206537,2053424,2161377,0,5437942,8.29,2161377,0,0
20221115,5005,5,-165,-3.19,42778338,8454889,-7415080,-1260832,0,3276565,5.33,-1260832,0,0
20221114,5170,2,60,1.17,33060509,787556,530163,-1343192,0,4537397,7.06,-1343192,0,0
20221111,5110,5,-315,-5.81,36400095,-29545,-229587,605183,0,5880589,9.55,605183,0,0
20221110,5425,2,90,1.69,33050499,-1355957,820931,284105,0,5275406,8.17,284105,0,0
20221109,5335,2,20,0.38,28954677,-1592180,1467594,284275,0,4991301,7.86,284275,0,0
20221108,5315,5,-135,-2.48,34859523,1693148,-1250729,-572129,0,4707026,7.59,-572129,0,0
20221107,5450,5,-65,-1.18,25020791,807998,-649491,-136914,0,5279155,8.99,-136914,0,0
