,rank,hname,salesgrowth,operatingincomegrowt,ordinaryincomegrowth,liabilitytoequity,enterpriseratio,eps,bps,roe,shcode,per,pbr,peg
0,1,동양파일,4.39,-35.6,6691.58,5.29,1129.14,245.33,6145.71,4.07,228340,12.66,0.51,38.84
1,2,감성코퍼레이션,139.9,1300.52,5433.07,64.87,13.62,168.35,568.07,37.7,036620,26.46,7.84,1.31
2,3,선진뷰티사이언스,31.8,47.7,3772.86,106.8,955.24,1593.39,5276.18,35.91,086710,5.72,1.73,0.52
3,4,일신석재,84.19,371.91,3032.3,110.34,43.52,30.31,717.6,4.37,007110,42.10,1.78,0.00
4,5,모베이스전자,17.8,169.62,2912.85,217.62,376.1,92.64,2380.49,4.08,012860,29.90,1.16,0.00
5,6,산돌,56.68,81.82,2174.46,19.56,1338.63,1372.58,7193.13,23.96,419120,7.61,1.45,0.00
6,7,인터플렉스,-11.93,446.88,2042.44,43.13,1593.89,656.34,8469.46,8.13,051370,19.12,1.48,0.76
7,8,케이피에프,18.56,621.02,1893.85,114.97,1951.75,616.76,10258.74,6.5,024880,8.98,0.54,1.13
8,9,HB솔루션,299.62,2405.04,1531.12,50.07,1664.32,2588.48,8821.58,35.16,297890,1.93,0.57,0.97
9,10,윈하이텍,23.58,387.62,1459.03,97.78,1072.48,605.04,5862.38,10.88,192390,6.80,0.70,0.00
10,11,제룡전기,76.42,13551.64,1339.43,24.09,781.93,776.96,4409.67,19.2,033100,26.38,4.65,1.35
11,12,일동홀딩스,13.94,190.03,1151.48,60.11,1515.21,754.03,16152.08,4.8,000230,13.98,0.65,2.66
12,13,대상홀딩스,10.62,-12.78,892.46,29.79,946.18,646.89,10725.73,6.31,084690,11.24,0.68,2.78
13,14,제일테크노스,18.47,2118.05,884.56,119.91,1766.71,1229.91,9333.54,14.69,038010,8.46,1.12,0.77
14,15,쌍용정보통신,26.93,64.98,762.63,230.29,75.67,146.81,878.34,18.36,010280,6.00,1.00,1.86
15,16,에스티오,13.45,1950.29,696.03,100.52,407.25,153.93,2536.22,6.46,098660,16.83,1.02,12.38
16,17,토마토시스템,18.52,399.45,690.4,36.07,493.28,1080.63,1003.35,59.0,393210,4.12,4.44,3.99
17,18,삼성공조,22.74,952.88,654.75,14.05,5392.52,1595.12,27462.6,5.97,006660,6.65,0.39,0.00
18,19,오스템임플란트,28.66,51.42,649.33,165.48,5844.31,10976.07,29721.54,55.18,048260,17.13,6.33,0.26
19,20,코오롱,11.5,10.49,637.53,157.47,676.99,1820.2,42161.24,4.78,002020,10.40,0.45,0.00
20,21,대성홀딩스,5.78,-5.51,617.4,55.85,1667.46,2465.04,17674.57,14.89,016710,5.83,0.81,0.76
21,22,에스티팜,50.4,293.35,594.67,62.95,3522.73,855.5,18113.62,4.81,237690,85.45,4.04,5.30
22,23,아톤,-2.44,-8.92,594.32,68.54,3157.3,3728.39,16286.51,27.24,158430,5.39,1.23,0.17
23,24,이수페타시스,36.79,120.54,544.13,83.86,297.49,1352.63,3974.88,40.69,007660,28.20,9.60,0.35
24,25,텔레칩스,10.25,12.89,501.61,82.6,2365.51,3349.57,12327.55,33.27,054450,5.86,1.59,0.55
25,26,대창스틸,33.5,-53.61,475.65,87.75,963.34,1269.06,5316.7,26.68,140520,2.34,0.56,1.60
26,27,만호제강,29.36,-83.32,456.66,11.09,6085.76,1533.48,61857.64,2.74,001080,23.41,0.58,1.03
27,28,노루홀딩스,-7.89,-40.73,442.24,18.36,3897.62,2420.66,25653.99,10.28,000320,4.61,0.43,0.86
28,29,티와이홀딩스,187.81,235.92,428.55,9.0,3686.81,716.1,19400.74,4.36,363280,10.45,0.39,4.04
29,30,아모그린텍,16.43,400.63,395.81,156.1,577.64,691.98,3388.19,23.31,125210,24.08,4.92,4.48
30,31,화천기공,19.73,28.85,393.63,35.51,2797.84,15294.7,144892.07,11.13,000850,2.46,0.26,0.18
31,32,이지홀딩스,20.92,9.53,388.25,46.13,1051.3,662.46,5822.94,12.05,035810,4.69,0.53,1.50
32,33,삼기이브이,-8.41,15.76,369.5,110.74,3537.99,661.1,3637.99,19.99,419050,23.88,4.34,0.00
33,34,갤럭시아머니트리,17.02,3.11,365.24,194.13,484.92,116.16,2924.58,4.06,094480,50.79,2.02,0.00
34,35,시큐센,80.25,373.41,364.77,128.61,70.34,233.42,851.71,31.76,232830,21.59,5.92,11.84
35,36,에치에프알,92.21,359.99,357.35,65.62,2151.5,3019.88,11257.49,32.59,230240,6.72,1.80,1.40
36,37,선진,22.31,12.01,350.28,114.75,3485.77,1728.16,17928.86,10.13,136490,4.98,0.48,1.61
37,38,삼목에스폼,54.99,468.72,345.05,32.88,5878.59,3586.37,29892.93,13.24,018310,4.16,0.50,0.87
38,39,미래컴퍼니,34.85,488.45,342.58,29.03,3075.31,3163.54,15460.49,24.22,049950,11.38,2.33,1.14
39,40,제우스,46.85,918.81,340.49,72.14,3737.04,2012.0,19185.21,11.27,079370,22.54,2.36,1.44
40,41,세동,17.45,225.76,338.63,558.48,59.33,253.27,796.62,38.0,053060,10.29,3.27,6.10
41,42,한일홀딩스,20.11,2.72,329.0,24.71,2277.69,2736.2,25725.29,11.05,003300,4.24,0.45,1.66
42,43,티이엠씨,292.48,320.78,326.39,99.96,2155.52,4805.96,11277.59,60.84,425040,10.65,4.54,0.00
43,44,대보마그네틱,152.94,361.77,322.92,24.8,2242.21,2815.44,11711.06,31.76,290670,18.86,4.53,1.07
44,45,나무가,-1.83,421.97,321.93,54.24,1447.22,2312.85,7925.78,36.41,190510,6.47,1.89,1.56
45,46,현대차,17.45,327.52,321.83,49.6,3759.64,13367.41,268967.24,6.83,005380,15.60,0.78,0.16
46,47,램테크놀러지,41.08,108.62,320.17,61.39,608.69,322.04,3600.29,9.54,171010,21.27,1.90,10.17
47,48,안국약품,26.46,3304.48,308.53,43.35,2186.61,162.79,11433.07,1.46,001540,50.25,0.72,70.35
48,49,조비,75.6,286.93,305.14,111.52,136.83,1663.65,11841.38,15.06,001550,9.20,1.29,1.65
49,50,와토스코리아,-2.58,-66.21,304.65,6.31,2064.22,737.79,10821.07,6.99,079000,7.44,0.51,4.99
50,51,케이씨티,5.72,178.02,300.43,54.25,305.42,39.38,2027.09,1.93,089150,84.05,1.63,140.26
51,52,한국항공우주,8.78,119.72,294.12,430.51,198.06,1286.48,14903.12,9.15,047810,41.90,3.62,2.87
52,53,진성티이씨,9.5,241.65,290.24,45.27,1632.96,1873.09,8664.79,26.38,036890,8.02,1.73,1.78
53,54,샌즈랩,71.77,327.5,287.34,389.21,84.59,179.59,184.59,62.77,411080,56.24,54.72,0.00
54,55,3S,80.43,82.49,286.98,44.42,84.76,44.53,923.8,5.16,060310,64.11,3.09,69.15
55,56,비엠티,31.36,311.26,285.87,121.7,2219.52,1729.77,11597.6,17.0,086670,9.60,1.43,2.62
56,57,덕양산업,17.66,125.17,285.39,507.97,365.55,395.99,2327.74,20.66,024900,22.15,3.77,3.05
57,58,이노션,9.59,-0.59,284.74,54.78,6945.71,6319.95,35228.52,19.21,214320,6.50,1.17,0.48
58,59,지엔씨에너지,23.66,-11.78,276.6,45.17,1289.29,1606.41,7073.15,26.29,119850,2.80,0.64,2.34
59,60,태평양물산,25.14,631.27,276.06,166.09,870.0,414.38,5025.71,8.89,007980,4.08,0.34,7.32
60,61,DSR제강,26.33,514.39,268.77,41.67,2442.99,2008.78,12714.96,17.17,069730,2.32,0.37,1.79
61,62,탑엔지니어링,7.96,1237.06,267.89,38.44,2288.38,394.48,12444.22,3.27,065130,16.15,0.51,15.42
62,63,에이플러스에셋,5.33,-66.42,262.99,61.25,1021.17,1424.86,5605.84,28.8,244920,3.18,0.81,2.60
63,64,콤텍시스템,5.63,-44.68,262.26,46.13,164.52,149.78,1322.6,12.04,031820,5.84,0.66,45.66
64,65,HDC현대EP,18.73,-51.96,261.47,88.35,1548.15,483.9,8886.57,6.01,089470,9.01,0.49,1.42
65,66,오리콤,20.06,185.39,257.64,77.65,606.91,789.76,7069.08,11.74,010470,14.02,1.57,4.55
66,67,호전실업,41.79,66.1,248.61,80.28,2204.89,1977.64,14813.85,16.24,111110,4.53,0.60,0.99
67,68,TJ미디어,52.33,499.84,246.22,56.85,1065.55,246.21,5827.72,4.32,032540,27.66,1.17,13.58
68,69,SK디스커버리,107.41,142.85,245.82,54.02,894.43,7980.18,58333.97,15.99,006120,4.48,0.61,0.39
69,70,삼아제약,49.45,200.39,245.29,12.48,2759.38,1869.95,28593.8,6.76,009300,9.38,0.61,2.15
70,71,덕신하우징,27.43,456.39,237.58,59.46,1713.16,162.4,1813.16,9.35,090410,15.09,1.35,34.05
71,72,에프엔에스테크,-0.26,114.5,237.27,39.78,1463.92,579.62,7819.58,8.23,083500,15.86,1.18,7.70
72,73,잉크테크,9.63,-8.38,233.98,57.52,596.42,227.49,3589.01,6.93,049550,20.86,1.32,23.74
73,74,드림텍,15.89,124.75,230.85,49.51,3744.6,818.5,3950.28,23.19,192650,13.06,2.71,5.77
74,75,보라티알,14.4,66.49,230.32,35.66,2076.41,2303.3,10882.03,24.06,250000,6.77,1.43,1.93
75,76,카카오,15.18,37.08,227.0,52.18,15804.73,3630.75,15922.58,23.71,035720,14.54,3.32,1.27
76,77,리메드,5.58,25.38,221.79,152.68,924.92,774.68,5124.59,16.23,302550,25.35,3.83,6.24
77,78,솔루스첨단소재,-0.63,22.76,221.35,21.56,9319.07,895.83,12194.14,13.52,336370,38.85,2.85,5.61
78,79,케이엔제이,33.61,349.37,213.45,111.09,1183.25,1170.89,6416.23,20.12,272110,21.10,3.85,6.42
79,80,인텔리안테크,75.13,3121.96,209.93,100.42,3798.99,1449.49,19494.95,7.93,189300,49.19,3.66,3.39
80,81,솔루엠,49.87,465.07,207.36,105.78,937.99,789.79,5189.95,17.33,248070,37.29,5.67,3.86
81,82,SKC,91.55,194.75,205.95,76.81,1008.19,3127.4,55409.31,6.23,011790,32.10,1.81,0.53
82,83,아가방컴퍼니,18.19,139.05,197.63,27.59,881.76,378.99,4908.81,8.03,013990,8.69,0.67,0.00
83,84,푸드나무,11.0,110.03,197.49,87.5,1622.45,215.05,4373.26,5.31,290720,42.04,2.07,12.78
84,85,태광,43.8,513.74,195.82,11.49,3508.73,1329.01,18043.65,7.82,023160,15.88,1.17,3.91
85,86,에코프로에이치엔,140.07,199.06,194.03,112.52,1077.51,2119.04,5887.54,43.45,383310,29.26,10.53,2.61
86,87,대덕전자,31.73,213.72,192.92,39.28,3223.79,3458.89,17323.68,23.06,353200,10.86,2.17,1.85
87,88,휴스틸,35.92,134.9,192.3,35.42,1194.42,1532.24,12944.15,9.78,005010,4.24,0.50,4.05
88,89,AP위성,33.34,433.64,191.89,28.06,1124.8,270.35,6123.98,4.9,211270,47.05,2.08,19.55
89,90,대한항공,53.23,96.91,191.04,204.21,399.59,4818.55,25054.61,21.97,003490,5.42,1.04,1.47
90,91,비올,69.32,135.29,189.75,13.07,577.98,206.53,677.98,36.24,335890,33.84,10.31,29.61
91,92,씨앤지하이테크,90.11,247.29,186.05,65.55,2137.61,1987.1,11188.06,19.77,264660,7.39,1.31,2.12
92,93,SM Life Design,7.35,143.39,185.98,21.61,122.87,48.58,1131.8,4.4,063440,40.90,1.76,120.95
93,94,인천도시가스,44.57,132.51,184.37,110.89,847.99,2729.83,47399.34,6.05,034590,9.38,0.54,2.00
94,95,풍원정밀,7.56,-74.58,183.64,35.32,657.29,317.5,3786.45,12.09,371950,31.87,2.67,31.77
95,96,큐에스아이,-22.75,-51.57,179.33,6.22,1685.83,711.54,8929.14,8.34,066310,15.26,1.22,5.74
96,97,신세계 I&C,11.8,4.35,178.53,31.66,4596.92,5253.56,23484.59,28.68,035510,2.53,0.57,1.05
97,98,윈텍,31.57,211.76,176.7,26.46,1128.32,95.72,1228.32,8.08,320000,32.12,2.50,64.16
98,99,한글과컴퓨터,9.4,-3.23,176.47,21.47,2506.32,2147.6,13715.19,18.09,030520,5.83,0.91,1.60
99,100,파크시스템스,41.89,80.0,173.67,32.17,3336.79,3233.76,17183.96,21.4,140860,58.79,11.06,2.57
